file,valid_pixels,valid_pct,pred_pixels,pred_pct,mean_ndvi,median_ndvi,green_pixels,green_pct,year,month,date,bad_valid,bad_pred,bad_ndvi,bad_green,zero_green,bad_image,use,screen_reason
sentinel2_monthly_2018_12.tif,165214,99.99515802980233,165214,99.99515802980233,0.6679467558860779,0.7107300758361816,120918,73.18871282094737,2018,12,2018-12-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_01.tif,158725,96.06771495321446,155781,94.28586992047065,0.6089076995849609,0.6246979832649231,111196,71.37969328737137,2019,1,2019-01-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_02.tif,165222,100.0,165222,100.0,0.512908935546875,0.5105364322662354,60128,36.392248005713526,2019,2,2019-02-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_03.tif,165222,100.0,165222,100.0,0.5441345572471619,0.5752345323562622,81504,49.329992373896935,2019,3,2019-03-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_04.tif,165222,100.0,165222,100.0,0.6518772840499878,0.6959811449050903,102854,62.25200033893792,2019,4,2019-04-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_05.tif,163924,99.21439033542748,163292,98.83187468981129,0.5663990378379822,0.5765100717544556,95899,58.72853538446464,2019,5,2019-05-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_06.tif,148483,89.86878260764306,143474,86.83710401762477,0.5106110572814941,0.5097885727882385,86663,60.403278642820304,2019,6,2019-06-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_07.tif,165222,100.0,165222,100.0,0.6247835159301758,0.6594439148902893,86038,52.074178983428354,2019,7,2019-07-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_08.tif,161850,97.95910956168065,159683,96.64754088438585,0.5052962899208069,0.5063220858573914,95835,60.01578126663452,2019,8,2019-08-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_09.tif,165190,99.98063211920932,165190,99.98063211920932,0.46478646993637085,0.45816728472709656,63158,38.23354924632242,2019,9,2019-09-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_10.tif,165222,100.0,165222,100.0,0.3763260543346405,0.3586351275444031,26006,15.740034620086913,2019,10,2019-10-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_11.tif,165222,100.0,165222,100.0,0.4224199950695038,0.4117647111415863,29440,17.818450327438235,2019,11,2019-11-01,False,False,False,False,False,False,True,
sentinel2_monthly_2019_12.tif,165222,100.0,165222,100.0,0.4820691645145416,0.49241435527801514,87638,53.04257302296305,2019,12,2019-12-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_01.tif,165214,99.99515802980233,165214,99.99515802980233,0.6250242590904236,0.6591513156890869,116252,70.36449695546382,2020,1,2020-01-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_02.tif,159799,96.71774945225212,157445,95.29299972158671,0.5711380839347839,0.5674350261688232,70304,44.65305344723554,2020,2,2020-02-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_03.tif,165186,99.97821113411047,165186,99.97821113411047,0.6119145750999451,0.6324833631515503,97230,58.860920416984484,2020,3,2020-03-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_04.tif,165210,99.99273704470349,165210,99.99273704470349,0.7038102149963379,0.7467226982116699,129460,78.36087403910174,2020,4,2020-04-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_05.tif,161351,97.65709167060078,159450,96.50651850237861,0.6583743691444397,0.7187355160713196,127886,80.20445280652243,2020,5,2020-05-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_06.tif,162451,98.32286257278086,160642,97.22797206183196,0.5755689740180969,0.5776165127754211,70833,44.09369903263157,2020,6,2020-06-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_07.tif,165222,100.0,165222,100.0,0.6910943388938904,0.7265027761459351,128918,78.02713924295796,2020,7,2020-07-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_08.tif,165222,100.0,165222,100.0,0.6810725927352905,0.7126099467277527,120630,73.01085811816829,2020,8,2020-08-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_09.tif,165222,100.0,165222,100.0,0.5322306156158447,0.5282236337661743,62678,37.93562600622194,2020,9,2020-09-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_10.tif,165222,100.0,165222,100.0,0.48184671998023987,0.4676258862018585,34640,20.965730955925967,2020,10,2020-10-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_11.tif,151017,91.4024766677561,146533,88.68855237196016,0.6402657628059387,0.6483932137489319,95484,65.16211365357975,2020,11,2020-11-01,False,False,False,False,False,False,True,
sentinel2_monthly_2020_12.tif,165222,100.0,165222,100.0,0.6468813419342041,0.6629030704498291,97782,59.182191233612954,2020,12,2020-12-01,False,False,False,False,False,False,True,
sentinel2_monthly_2021_01.tif,145446,88.03064967135127,138666,83.92707992882303,0.5533120632171631,0.5575481653213501,77701,56.03464439732883,2021,1,2021-01-01,False,False,False,False,False,False,True,
sentinel2_monthly_2021_02.tif,79029,47.83200784399172,60878,36.846182711745406,0.5087692141532898,0.46804580092430115,22326,36.67334669338677,2021,2,2021-02-01,False,False,False,False,False,False,True,
sentinel2_monthly_2021_03.tif,165222,100.0,165222,100.0,0.6528789401054382,0.6778523325920105,86854,52.56805994359105,2021,3,2021-03-01,False,False,False,False,False,False,True,
sentinel2_monthly_2021_04.tif,165222,100.0,165222,100.0,0.6579652428627014,0.6888346672058105,103622,62.71682947791456,2021,4,2021-04-01,False,False,False,False,False,False,True,
